run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
06f67db8e557,B0046,graphql,partial,low,50,5,run-sesi-1,1782000134.530,1782000195.135,317.291466,445.574038,484.0855212499987,141.0013501914884,952,0.40321825,0.279088,0,101.60847457627119,102.9,74.77745762711864,74.85,8496,
a46b9d0dcad2,B0046,graphql,partial,low,50,6,run-sesi-1,1782000195.140,1782000255.749,315.85398,436.06186725,506.8239465499999,143.50708210701762,957,0.39612375,0.27830299999999997,0,101.26557377049181,102.9,74.83196721311475,74.87,8646,
c24b82d14b73,B0046,graphql,partial,low,50,7,run-sesi-1,1782000255.754,1782000316.354,317.967122,448.351835,501.9189485,139.60445974844842,952,0.4136525,0.283799,0,100.71967213114755,103.0,74.84459016393443,74.88,8411,
c45d4fbafc28,B0046,graphql,partial,low,50,8,run-sesi-1,1782000316.360,1782000377.097,326.06385550000005,465.82012325,531.69420255,139.22861090696497,962,0.404646,0.275091,0,101.80833333333334,102.9,74.8185,74.88,8406,
81f00cc956eb,B0046,graphql,partial,low,50,9,run-sesi-1,1782000377.103,1782000437.802,317.219674,449.01604879999996,537.4841335399999,140.78452964821923,962,0.412678,0.277326,0,101.28524590163934,102.9,74.87770491803279,74.89,8495,
0da5adb6c556,B0046,graphql,partial,low,50,10,run-sesi-1,1782000437.808,1782000498.441,318.065573,447.2785282,525.3191170000001,140.6495099204419,936,0.4045323,0.280817,0,101.11833333333334,102.9,74.80633333333333,74.86,8475,
ed506c4e6c5a,B0046,graphql,partial,low,50,11,run-sesi-1,1782000498.448,1782000559.052,321.9621435,457.4988552,508.25538890000007,140.41941046802077,936,0.41593474999999996,0.2785005,0,101.24754098360657,102.9,74.83967213114754,74.91,8458,
fb3ef902553f,B0046,graphql,partial,low,50,12,run-sesi-1,1782000559.059,1782000619.610,320.570608,466.0130205,527.9314588000004,139.42910925191632,936,0.415907,0.280582,0,100.82786885245902,102.9,74.84262295081967,74.91,8391,
7a24a75edb0a,B0046,graphql,partial,low,50,13,run-sesi-1,1782000619.618,1782000680.144,319.8064915,448.40883249999996,504.8564571299999,139.49088101562324,952,0.40784349999999997,0.2768615,0,101.685,102.9,74.833,74.91,8394,
2d36688f3afb,B0046,graphql,partial,low,50,14,run-sesi-1,1782000680.151,1782000740.772,318.80687,454.1092989,516.7965106999999,140.70027121637173,973,0.40133270000000004,0.276528,0,100.89508196721312,102.9,74.87245901639344,74.91,8479,
c2f634aa0c43,B0046,graphql,partial,low,50,15,run-sesi-1,1782000740.780,1782000801.429,318.148039,446.88092340000003,497.4149668,141.50083002995453,952,0.4078297,0.281424,0,101.76833333333335,102.9,74.869,74.91,8527,
eb2f34a29610,B0046,graphql,partial,low,50,16,run-sesi-1,1782000801.444,1782000862.066,318.515989,448.5212274,512.12139824,139.62006984990091,952,0.4125868,0.282439,0,101.07540983606557,102.9,74.89688524590164,74.94,8413,
ca99d91bc04b,B0046,graphql,partial,low,50,17,run-sesi-1,1782000862.075,1782000922.729,317.950492,447.462107,497.779226,140.2412706920235,962,0.41061325000000004,0.27998500000000004,0,101.32333333333334,102.9,74.87316666666666,74.93,8456,
3ccd7c024ca7,B0046,graphql,partial,low,50,18,run-sesi-1,1782000922.738,1782000983.340,326.657723,466.8325652,521.5127311199999,139.2950384937293,936,0.4076684,0.271238,0,101.44590163934427,102.9,74.81213114754098,74.92,8393,
4eedeeab39ee,B0046,graphql,partial,low,50,19,run-sesi-1,1782000983.349,1782001044.054,320.174538,453.5509301999998,507.6139887600001,140.23300574021593,952,0.4101626,0.281124,0,100.97704918032787,102.9,74.87508196721312,74.93,8465,
